time,o_taz,d_taz,total
0,21510111,21510111,400.246
0,21510111,21510120,109.929
0,21510111,21510130,255.646
0,21510111,21510330,99.3279
0,21510111,26510110,174.607
0,21510111,26510130,113.564
0,21510111,26510310,111.703
0,21510120,21510111,109.775
0,21510120,21510120,371.335
0,21510120,21510130,217.251
0,21510120,21510330,76.8997
0,21510120,26510110,154.15
0,21510120,26510130,101.606
0,21510120,26510310,126.377
0,21510130,21510111,142.322
0,21510130,21510120,196.225
0,21510130,21510130,1226.34
0,21510130,21510330,176.644
0,21510130,26510110,244.366
0,21510130,26510130,169.635
0,21510130,26510310,180.542
0,21510330,21510111,75.6513
0,21510330,21510120,30.9482
0,21510330,21510130,190.398
0,21510330,21510330,228.859
0,21510330,26510110,131.043
0,21510330,26510130,71.5336
0,21510330,26510310,59.4653
0,26510110,21510111,76.3521
0,26510110,21510120,82.901
0,26510110,21510130,202.642
0,26510110,21510330,102.81
0,26510110,26510110,640.648
0,26510110,26510130,213.44
0,26510110,26510310,123.902
0,26510130,21510111,80.1632
0,26510130,21510120,85.0036
0,26510130,21510130,180.499
0,26510130,21510330,79.5937
0,26510130,26510110,304.292
0,26510130,26510130,381.016
0,26510130,26510310,132.883
0,26510310,21510111,85.2446
0,26510310,21510120,89.866
0,26510310,21510130,162.517
0,26510310,21510330,55.1943
0,26510310,26510110,148.017
0,26510310,26510130,106.687
0,26510310,26510310,244.651
1,21510111,21510111,251.156
1,21510111,21510120,68.9806
1,21510111,21510130,160.419
1,21510111,21510330,62.3286
1,21510111,26510110,109.566
1,21510111,26510130,71.2621
1,21510111,26510310,70.0939
1,21510120,21510111,68.8844
1,21510120,21510120,233.014
1,21510120,21510130,136.326
1,21510120,21510330,48.2548
1,21510120,26510110,96.7295
1,21510120,26510130,63.7579
1,21510120,26510310,79.3023
1,21510130,21510111,89.3078
1,21510130,21510120,123.132
1,21510130,21510130,769.534
1,21510130,21510330,110.845
1,21510130,26510110,153.341
1,21510130,26510130,106.446
1,21510130,26510310,113.291
1,21510330,21510111,47.4714
1,21510330,21510120,19.4201
1,21510330,21510130,119.476
1,21510330,21510330,143.61
1,21510330,26510110,82.2297
1,21510330,26510130,44.8876
1,21510330,26510310,37.3147
1,26510110,21510111,47.9112
1,26510110,21510120,52.0206
1,26510110,21510130,127.159
1,26510110,21510330,64.5138
1,26510110,26510110,402.009
1,26510110,26510130,133.934
1,26510110,26510310,77.7492
1,26510130,21510111,50.3027
1,26510130,21510120,53.3401
1,26510130,21510130,113.263
1,26510130,21510330,49.9453
1,26510130,26510110,190.944
1,26510130,26510130,239.089
1,26510130,26510310,83.3842
1,26510310,21510111,53.4912
1,26510310,21510120,56.3912
1,26510310,21510130,101.98
1,26510310,21510330,34.6346
1,26510310,26510110,92.8812
1,26510310,26510130,66.9465
1,26510310,26510310,153.519
2,21510111,21510111,133.059
2,21510111,21510120,36.545
2,21510111,21510130,84.9878
2,21510111,21510330,33.0209
2,21510111,26510110,58.0468
2,21510111,26510130,37.7537
2,21510111,26510310,37.1348
2,21510120,21510111,36.4941
2,21510120,21510120,123.448
2,21510120,21510130,72.2236
2,21510120,21510330,25.5648
2,21510120,26510110,51.2461
2,21510120,26510130,33.7781
2,21510120,26510310,42.0133
2,21510130,21510111,47.3142
2,21510130,21510120,65.2335
2,21510130,21510130,407.69
2,21510130,21510330,58.724
2,21510130,26510110,81.2379
2,21510130,26510130,56.394
2,21510130,26510310,60.0201
2,21510330,21510111,25.1497
2,21510330,21510120,10.2885
2,21510330,21510130,63.2967
2,21510330,21510330,76.0827
2,21510330,26510110,43.5643
2,21510330,26510130,23.7809
2,21510330,26510310,19.7688
2,26510110,21510111,25.3828
2,26510110,21510120,27.5599
2,26510110,21510130,67.367
2,26510110,21510330,34.1786
2,26510110,26510110,212.979
2,26510110,26510130,70.9567
2,26510110,26510310,41.1905
2,26510130,21510111,26.6497
2,26510130,21510120,28.2589
2,26510130,21510130,60.0055
2,26510130,21510330,26.4604
2,26510130,26510110,101.16
2,26510130,26510130,126.666
2,26510130,26510310,44.1759
2,26510310,21510111,28.339
2,26510310,21510120,29.8753
2,26510310,21510130,54.0275
2,26510310,21510330,18.349
2,26510310,26510110,49.2073
2,26510310,26510130,35.4674
2,26510310,26510310,81.3326
3,21510111,21510111,104.47
3,21510111,21510120,28.693
3,21510111,21510130,66.7274
3,21510111,21510330,25.926
3,21510111,26510110,45.5749
3,21510111,26510130,29.642
3,21510111,26510310,29.1561
3,21510120,21510111,28.653
3,21510120,21510120,96.9239
3,21510120,21510130,56.7057
3,21510120,21510330,20.072
3,21510120,26510110,40.2354
3,21510120,26510130,26.5206
3,21510120,26510310,32.9864
3,21510130,21510111,37.1483
3,21510130,21510120,51.2175
3,21510130,21510130,320.094
3,21510130,21510330,46.1066
3,21510130,26510110,63.7832
3,21510130,26510130,44.2772
3,21510130,26510310,47.1242
3,21510330,21510111,19.7461
3,21510330,21510120,8.07795
3,21510330,21510130,49.6968
3,21510330,21510330,59.7356
3,21510330,26510110,34.2041
3,21510330,26510130,18.6713
3,21510330,26510310,15.5213
3,26510110,21510111,19.929
3,26510110,21510120,21.6384
3,26510110,21510130,52.8925
3,26510110,21510330,26.835
3,26510110,26510110,167.219
3,26510110,26510130,55.711
3,26510110,26510310,32.3404
3,26510130,21510111,20.9238
3,26510130,21510120,22.1872
3,26510130,21510130,47.1128
3,26510130,21510330,20.7751
3,26510130,26510110,79.4246
3,26510130,26510130,99.4508
3,26510130,26510310,34.6843
3,26510310,21510111,22.2501
3,26510310,21510120,23.4563
3,26510310,21510130,42.4192
3,26510310,21510330,14.4065
3,26510310,26510110,38.6346
3,26510310,26510130,27.8469
3,26510310,26510310,63.8575
4,21510111,21510111,72.1405
4,21510111,21510120,19.8136
4,21510111,21510130,46.0777
4,21510111,21510330,17.9029
4,21510111,26510110,31.4712
4,21510111,26510130,20.4689
4,21510111,26510310,20.1333
4,21510120,21510111,19.7859
4,21510120,21510120,66.9296
4,21510120,21510130,39.1574
4,21510120,21510330,13.8604
4,21510120,26510110,27.784
4,21510120,26510130,18.3134
4,21510120,26510310,22.7783
4,21510130,21510111,25.6523
4,21510130,21510120,35.3676
4,21510130,21510130,221.036
4,21510130,21510330,31.8383
4,21510130,26510110,44.0447
4,21510130,26510130,30.5751
4,21510130,26510310,32.541
4,21510330,21510111,13.6354
4,21510330,21510120,5.57812
4,21510330,21510130,34.3175
4,21510330,21510330,41.2497
4,21510330,26510110,23.6192
4,21510330,26510130,12.8932
4,21510330,26510310,10.718
4,26510110,21510111,13.7617
4,26510110,21510120,14.9421
4,26510110,21510130,36.5243
4,26510110,21510330,18.5306
4,26510110,26510110,115.471
4,26510110,26510130,38.4705
4,26510110,26510310,22.3322
4,26510130,21510111,14.4486
4,26510130,21510120,15.3211
4,26510130,21510130,32.5331
4,26510130,21510330,14.346
4,26510130,26510110,54.8456
4,26510130,26510130,68.6744
4,26510130,26510310,23.9508
4,26510310,21510111,15.3645
4,26510310,21510120,16.1975
4,26510310,21510130,29.292
4,26510310,21510330,9.94824
4,26510310,26510110,26.6787
4,26510310,26510130,19.2293
4,26510310,26510310,44.096
5,21510111,21510111,82.5608
5,21510111,21510120,22.6755
5,21510111,21510130,52.7334
5,21510111,21510330,20.4889
5,21510111,26510110,36.017
5,21510111,26510130,23.4255
5,21510111,26510310,23.0415
5,21510120,21510111,22.6439
5,21510120,21510120,76.5972
5,21510120,21510130,44.8134
5,21510120,21510330,15.8625
5,21510120,26510110,31.7973
5,21510120,26510130,20.9587
5,21510120,26510310,26.0685
5,21510130,21510111,29.3576
5,21510130,21510120,40.4762
5,21510130,21510130,252.964
5,21510130,21510330,36.4372
5,21510130,26510110,50.4067
5,21510130,26510130,34.9914
5,21510130,26510310,37.2414
5,21510330,21510111,15.605
5,21510330,21510120,6.38385
5,21510330,21510130,39.2745
5,21510330,21510330,47.208
5,21510330,26510110,27.0308
5,21510330,26510130,14.7556
5,21510330,26510310,12.2662
5,26510110,21510111,15.7495
5,26510110,21510120,17.1004
5,26510110,21510130,41.8
5,26510110,21510330,21.2072
5,26510110,26510110,132.15
5,26510110,26510130,44.0273
5,26510110,26510310,25.558
5,26510130,21510111,16.5357
5,26510130,21510120,17.5341
5,26510130,21510130,37.2323
5,26510130,21510330,16.4182
5,26510130,26510110,62.7677
5,26510130,26510130,78.5941
5,26510130,26510310,27.4103
5,26510310,21510111,17.5838
5,26510310,21510120,18.5371
5,26510310,21510130,33.5231
5,26510310,21510330,11.3852
5,26510310,26510110,30.5322
5,26510310,26510130,22.0069
5,26510310,26510310,50.4654
6,21510111,21510111,154.434
6,21510111,21510120,42.4157
6,21510111,21510130,98.6405
6,21510111,21510330,38.3254
6,21510111,26510110,67.3716
6,21510111,26510130,43.8186
6,21510111,26510310,43.1003
6,21510120,21510111,42.3566
6,21510120,21510120,143.279
6,21510120,21510130,83.8258
6,21510120,21510330,29.6716
6,21510120,26510110,59.4784
6,21510120,26510130,39.2043
6,21510120,26510310,48.7625
6,21510130,21510111,54.9148
6,21510130,21510120,75.7128
6,21510130,21510130,473.182
6,21510130,21510330,68.1576
6,21510130,26510110,94.2882
6,21510130,26510130,65.4533
6,21510130,26510310,69.6619
6,21510330,21510111,29.1899
6,21510330,21510120,11.9413
6,21510330,21510130,73.4648
6,21510330,21510330,88.3048
6,21510330,26510110,50.5625
6,21510330,26510130,27.6011
6,21510330,26510310,22.9446
6,26510110,21510111,29.4603
6,26510110,21510120,31.9872
6,26510110,21510130,78.189
6,26510110,21510330,39.6692
6,26510110,26510110,247.193
6,26510110,26510130,82.3553
6,26510110,26510310,47.8075
6,26510130,21510111,30.9308
6,26510130,21510120,32.7985
6,26510130,21510130,69.645
6,26510130,21510330,30.7111
6,26510130,26510110,117.41
6,26510130,26510130,147.014
6,26510130,26510310,51.2724
6,26510310,21510111,32.8914
6,26510310,21510120,34.6746
6,26510310,21510130,62.7067
6,26510310,21510330,21.2966
6,26510310,26510110,57.1121
6,26510310,26510130,41.165
6,26510310,26510310,94.398
7,21510111,21510111,479.067
7,21510111,21510120,131.577
7,21510111,21510130,305.99
7,21510111,21510330,118.888
7,21510111,26510110,208.992
7,21510111,26510130,135.929
7,21510111,26510310,133.7
7,21510120,21510111,131.393
7,21510120,21510120,444.462
7,21510120,21510130,260.034
7,21510120,21510330,92.0435
7,21510120,26510110,184.506
7,21510120,26510130,121.615
7,21510120,26510310,151.265
7,21510130,21510111,170.35
7,21510130,21510120,234.867
7,21510130,21510130,1467.85
7,21510130,21510330,211.43
7,21510130,26510110,292.489
7,21510130,26510130,203.041
7,21510130,26510310,216.096
7,21510330,21510111,90.5492
7,21510330,21510120,37.0429
7,21510330,21510130,227.894
7,21510330,21510330,273.928
7,21510330,26510110,156.849
7,21510330,26510130,85.6206
7,21510330,26510310,71.1758
7,26510110,21510111,91.3881
7,26510110,21510120,99.2266
7,26510110,21510130,242.548
7,26510110,21510330,123.057
7,26510110,26510110,766.811
7,26510110,26510130,255.472
7,26510110,26510310,148.302
7,26510130,21510111,95.9496
7,26510130,21510120,101.743
7,26510130,21510130,216.044
7,26510130,21510330,95.268
7,26510130,26510110,364.215
7,26510130,26510130,456.049
7,26510130,26510310,159.051
7,26510310,21510111,102.032
7,26510310,21510120,107.563
7,26510310,21510130,194.521
7,26510310,21510330,66.0637
7,26510310,26510110,177.166
7,26510310,26510130,127.697
7,26510310,26510310,292.83
8,21510111,21510111,983.516
8,21510111,21510120,270.125
8,21510111,21510130,628.193
8,21510111,21510330,244.076
8,21510111,26510110,429.057
8,21510111,26510130,279.059
8,21510111,26510310,274.485
8,21510120,21510111,269.748
8,21510120,21510120,912.473
8,21510120,21510130,533.846
8,21510120,21510330,188.964
8,21510120,26510110,378.789
8,21510120,26510130,249.673
8,21510120,26510310,310.544
8,21510130,21510111,349.726
8,21510130,21510120,482.178
8,21510130,21510130,3013.46
8,21510130,21510330,434.062
8,21510130,26510110,600.475
8,21510130,26510130,416.84
8,21510130,26510310,443.642
8,21510330,21510111,185.896
8,21510330,21510120,76.0484
8,21510330,21510130,467.862
8,21510330,21510330,562.371
8,21510330,26510110,322.008
8,21510330,26510130,175.778
8,21510330,26510310,146.123
8,26510110,21510111,187.618
8,26510110,21510120,203.711
8,26510110,21510130,497.947
8,26510110,21510330,252.633
8,26510110,26510110,1574.25
8,26510110,26510130,524.481
8,26510110,26510310,304.463
8,26510130,21510111,196.983
8,26510130,21510120,208.877
8,26510130,21510130,443.535
8,26510130,21510330,195.584
8,26510130,26510110,747.728
8,26510130,26510130,936.262
8,26510130,26510310,326.529
8,26510310,21510111,209.469
8,26510310,21510120,220.826
8,26510310,21510130,399.348
8,26510310,21510330,135.628
8,26510310,26510110,363.719
8,26510310,26510130,262.16
8,26510310,26510310,601.175
9,21510111,21510111,1312.16
9,21510111,21510120,360.387
9,21510111,21510130,838.103
9,21510111,21510330,325.634
9,21510111,26510110,572.426
9,21510111,26510130,372.307
9,21510111,26510310,366.203
9,21510120,21510111,359.884
9,21510120,21510120,1217.37
9,21510120,21510130,712.229
9,21510120,21510330,252.106
9,21510120,26510110,505.36
9,21510120,26510130,333.101
9,21510120,26510310,414.312
9,21510130,21510111,466.586
9,21510130,21510120,643.297
9,21510130,21510130,4020.41
9,21510130,21510330,579.104
9,21510130,26510110,801.123
9,21510130,26510130,556.126
9,21510130,26510310,591.885
9,21510330,21510111,248.013
9,21510330,21510120,101.46
9,21510330,21510130,624.197
9,21510330,21510330,750.286
9,21510330,26510110,429.607
9,21510330,26510130,234.514
9,21510330,26510310,194.949
9,26510110,21510111,250.311
9,26510110,21510120,271.78
9,26510110,21510130,664.336
9,26510110,21510330,337.051
9,26510110,26510110,2100.28
9,26510110,26510130,699.735
9,26510110,26510310,406.198
9,26510130,21510111,262.805
9,26510130,21510120,278.673
9,26510130,21510130,591.741
9,26510130,21510330,260.938
9,26510130,26510110,997.581
9,26510130,26510130,1249.11
9,26510130,26510310,435.638
9,26510310,21510111,279.463
9,26510310,21510120,294.614
9,26510310,21510130,532.79
9,26510310,21510330,180.947
9,26510310,26510110,485.255
9,26510310,26510130,349.76
9,26510310,26510310,802.057
10,21510111,21510111,1146.5
10,21510111,21510120,314.889
10,21510111,21510130,732.295
10,21510111,21510330,284.523
10,21510111,26510110,500.159
10,21510111,26510130,325.304
10,21510111,26510310,319.971
10,21510120,21510111,314.45
10,21510120,21510120,1063.68
10,21510120,21510130,622.312
10,21510120,21510330,220.278
10,21510120,26510110,441.56
10,21510120,26510130,291.048
10,21510120,26510310,362.006
10,21510130,21510111,407.681
10,21510130,21510120,562.082
10,21510130,21510130,3512.84
10,21510130,21510330,505.993
10,21510130,26510110,699.984
10,21510130,26510130,485.917
10,21510130,26510310,517.161
10,21510330,21510111,216.702
10,21510330,21510120,88.6508
10,21510330,21510130,545.394
10,21510330,21510330,655.564
10,21510330,26510110,375.37
10,21510330,26510130,204.907
10,21510330,26510310,170.338
10,26510110,21510111,218.71
10,26510110,21510120,237.469
10,26510110,21510130,580.465
10,26510110,21510330,294.499
10,26510110,26510110,1835.13
10,26510110,26510130,611.396
10,26510110,26510310,354.917
10,26510130,21510111,229.626
10,26510130,21510120,243.492
10,26510130,21510130,517.036
10,26510130,21510330,227.995
10,26510130,26510110,871.639
10,26510130,26510130,1091.41
10,26510130,26510310,380.64
10,26510310,21510111,244.182
10,26510310,21510120,257.42
10,26510310,21510130,465.527
10,26510310,21510330,158.103
10,26510310,26510110,423.993
10,26510310,26510130,305.604
10,26510310,26510310,700.799
11,21510111,21510111,829.349
11,21510111,21510120,227.783
11,21510111,21510130,529.723
11,21510111,21510330,205.817
11,21510111,26510110,361.802
11,21510111,26510130,235.317
11,21510111,26510310,231.459
11,21510120,21510111,227.465
11,21510120,21510120,769.442
11,21510120,21510130,450.165
11,21510120,21510330,159.344
11,21510120,26510110,319.413
11,21510120,26510130,210.537
11,21510120,26510310,261.866
11,21510130,21510111,294.906
11,21510130,21510120,406.596
11,21510130,21510130,2541.1
11,21510130,21510330,366.023
11,21510130,26510110,506.35
11,21510130,26510130,351.5
11,21510130,26510310,374.101
11,21510330,21510111,156.757
11,21510330,21510120,64.1277
11,21510330,21510130,394.524
11,21510330,21510330,474.218
11,21510330,26510110,271.533
11,21510330,26510130,148.224
11,21510330,26510310,123.218
11,26510110,21510111,158.209
11,26510110,21510120,171.779
11,26510110,21510130,419.894
11,26510110,21510330,213.033
11,26510110,26510110,1327.48
11,26510110,26510130,442.268
11,26510110,26510310,256.738
11,26510130,21510111,166.106
11,26510130,21510120,176.136
11,26510130,21510130,374.01
11,26510130,21510330,164.926
11,26510130,26510110,630.521
11,26510130,26510130,789.502
11,26510130,26510310,275.345
11,26510310,21510111,176.635
11,26510310,21510120,186.211
11,26510310,21510130,336.75
11,26510310,21510330,114.368
11,26510310,26510110,306.706
11,26510310,26510130,221.066
11,26510310,26510310,506.94
12,21510111,21510111,1013.17
12,21510111,21510120,278.271
12,21510111,21510130,647.136
12,21510111,21510330,251.436
12,21510111,26510110,441.995
12,21510111,26510130,287.474
12,21510111,26510310,282.762
12,21510120,21510111,277.883
